t,theta,thetaDot
0,0.820000,0.273333
0.1,1.030000,0.343333
0.2,1.250000,0.416667
0.3,0.040000,0.013333
0.4,0.040000,0.013333
0.5,0.040000,0.013333
0.6,0.040000,0.013333
0.7,0.040000,0.013333
0.8,0.040000,0.013333
0.9,0.040000,0.013333
1,0.040000,0.013333
1.1,0.040000,0.013333
1.2,0.040000,0.013333
1.3,0.040000,0.013333
1.4,0.040000,0.013333
1.5,0.040000,0.013333
1.6,0.040000,0.013333
1.7,0.040000,0.013333
1.8,0.040000,0.013333
1.9,0.040000,0.013333
2,0.040000,0.013333
2.1,0.040000,0.013333
2.2,0.040000,0.013333
2.3,0.040000,0.013333
2.4,0.040000,0.013333
2.5,0.040000,0.013333
2.6,0.040000,0.013333
2.7,0.040000,0.013333
2.8,0.040000,0.013333
2.9,0.040000,0.013333
3,0.040000,0.013333
3.1,0.040000,0.013333
3.2,0.040000,0.013333
3.3,0.040000,0.013333
3.4,0.040000,0.013333
3.5,0.040000,0.013333
3.6,0.040000,0.013333
3.7,0.040000,0.013333
3.8,0.040000,0.013333
3.9,0.040000,0.013333
4,0.040000,0.013333
4.1,0.040000,0.013333
4.2,0.040000,0.013333
4.3,0.040000,0.013333
4.4,0.040000,0.013333
4.5,0.040000,0.013333
4.6,0.040000,0.013333
4.7,0.040000,0.013333
4.8,0.040000,0.013333
4.9,0.040000,0.013333
5,0.040000,0.013333
5.1,0.040000,0.013333
5.2,0.040000,0.013333
5.3,0.040000,0.013333
5.4,0.040000,0.013333
5.5,0.040000,0.013333
5.6,0.040000,0.013333
5.7,0.040000,0.013333
5.8,0.040000,0.013333
5.9,0.040000,0.013333
6,0.100000,0.033333
6.1,0.100000,0.033333
6.2,0.100000,0.033333
6.3,0.100000,0.033333
6.4,0.100000,0.033333
6.5,0.100000,0.033333
6.6,0.100000,0.033333
6.7,0.100000,0.033333
6.8,0.100000,0.033333
6.9,0.100000,0.033333
7,0.900000,0.300000
7.1,0.900000,0.300000
7.2,0.900000,0.300000
7.3,0.900000,0.300000
7.4,0.900000,0.300000
7.5,0.900000,0.300000
7.6,0.900000,0.300000
7.7,0.900000,0.300000
7.8,0.900000,0.300000
7.9,0.900000,0.300000
8,0.900000,0.300000
